ticker,earnings_datetime_utc,eps_actual,eps_opinion
AAPL,2021-04-28T00:00:00Z,1.41,0.8000849999999999
AAPL,2021-07-27T00:00:00Z,1.31,0.7544583333333333
AAPL,2021-10-28T00:00:00Z,1.25,3.847068181818182
AAPL,2022-01-27T00:00:00Z,2.11,1.890608695652174
AAPL,2022-04-28T00:00:00Z,1.54,1.4329230769230763
AAPL,2022-07-28T00:00:00Z,1.2,1.1684399999999997
AAPL,2022-10-27T00:00:00Z,1.29,6.098999999999999
AAPL,2023-02-02T00:00:00Z,1.89,1.93925
AAPL,2023-05-04T00:00:00Z,1.53,1.474458333333333
AAPL,2023-08-03T00:00:00Z,1.27,1.2402608695652173
AAPL,2023-11-02T00:00:00Z,1.47,6.057613636363637
AAPL,2024-02-01T00:00:00Z,2.19,2.1092272727272725
AAPL,2024-05-02T00:00:00Z,1.53,1.5797272727272729
AAPL,2024-08-01T00:00:00Z,1.4,1.347869565217391
AAPL,2024-10-31T00:00:00Z,0.97,6.552047619047618
AAPL,2025-01-30T00:00:00Z,2.41,2.35604
AAPL,2025-05-01T00:00:00Z,1.65,1.6267407407407408
AAPL,2025-07-31T00:00:00Z,1.57,1.4771818181818182
AAPL,2025-10-30T00:00:00Z,1.85,7.354596491228068
AAPL,2026-01-29T00:00:00Z,2.85,2.5444210526315785
NIO,2021-04-29T00:00:00Z,-0.48,-0.805
NIO,2021-08-11T00:00:00Z,-0.07,-0.65
NIO,2021-11-09T00:00:00Z,-0.28,-0.68
NIO,2022-03-24T00:00:00Z,-0.23,-4.106064516129032
NIO,2022-06-09T00:00:00Z,-0.18,-0.9714000000000004
NIO,2022-09-07T00:00:00Z,-0.24,-1.2961666666666667
NIO,2022-11-10T00:00:00Z,-0.36,-1.1374285714285717
NIO,2023-03-01T00:00:00Z,-0.51,-5.902363636363638
NIO,2023-06-09T00:00:00Z,-0.42,-1.2286666666666666
NIO,2023-08-29T00:00:00Z,-0.49,-1.0415
NIO,2023-12-05T00:00:00Z,-0.37,-0.9073333333333332
NIO,2024-03-05T00:00:00Z,-0.48,-3.967121212121212
NIO,2024-06-06T00:00:00Z,-0.36,-2.1822857142857144
NIO,2024-09-05T00:00:00Z,-0.34,-2.210285714285714
NIO,2024-11-20T00:00:00Z,-0.36,-1.8487142857142855
NIO,2025-03-21T00:00:00Z,-0.45,-5.760599999999999
NIO,2025-06-03T00:00:00Z,-0.45,-2.236
NIO,2025-09-02T00:00:00Z,-0.32,-1.9431428571428573
NIO,2025-11-25T00:00:00Z,-0.21,-1.3266666666666664
NKE,2021-03-18T00:00:00Z,0.92,0.7944583333333335
NKE,2021-06-24T00:00:00Z,0.96,3.100891891891892
NKE,2021-09-23T00:00:00Z,1.18,1.123333333333333
NKE,2021-12-20T00:00:00Z,0.84,0.6337272727272727
NKE,2022-03-21T00:00:00Z,0.88,0.7063333333333334
NKE,2022-06-27T00:00:00Z,0.91,3.905250000000001
NKE,2022-09-29T00:00:00Z,0.94,1.1998823529411762
NKE,2022-12-20T00:00:00Z,0.85,0.6358695652173914
NKE,2023-03-21T00:00:00Z,0.8,0.548875
NKE,2023-06-29T00:00:00Z,0.67,3.2557297297297296
NKE,2023-09-28T00:00:00Z,0.95,1.0130000000000003
NKE,2023-12-21T00:00:00Z,1.04,0.9455909090909088
NKE,2024-03-21T00:00:00Z,0.77,0.9611999999999998
NKE,2024-06-27T00:00:00Z,0.99,3.950157894736843
NKE,2024-10-01T00:00:00Z,0.7,0.5340434782608695
NKE,2024-12-19T00:00:00Z,0.78,0.8221739130434783
NKE,2025-03-20T00:00:00Z,0.54,0.8360454545454544
NKE,2025-06-26T00:00:00Z,0.14,2.256825
NKE,2025-09-30T00:00:00Z,0.49,0.2719047619047619
NKE,2025-12-18T00:00:00Z,0.54,0.5258823529411766
NVDA,2021-02-24T00:00:00Z,2.35,0.2338567567567568
NVDA,2021-05-26T00:00:00Z,3.08,0.048856
NVDA,2021-08-18T00:00:00Z,0.95,0.0541399999999999
NVDA,2021-11-17T00:00:00Z,0.99,0.062392
NVDA,2022-02-16T00:00:00Z,1.2,0.4184652173913043
NVDA,2022-05-25T00:00:00Z,0.65,0.0955653846153846
NVDA,2022-08-24T00:00:00Z,0.26,0.1125413793103448
NVDA,2022-11-16T00:00:00Z,0.27,0.0931666666666666
